timestamp,orbit_id,voltage,current,temperature,soc,is_eclipse,anomaly_label,anomaly_type,event_id
0.0,0,4.0547,2.5652,22.23,0.88,0,0,normal,0
1.0,0,4.0314,2.597,21.63,0.8801,0,0,normal,0
2.0,0,4.0731,2.5564,22.03,0.8801,0,0,normal,0
3.0,0,4.104,2.5073,22.29,0.8802,0,0,normal,0
4.0,0,4.1093,2.5533,22.21,0.8802,0,0,normal,0
5.0,0,4.0914,2.507,21.8,0.8803,0,0,normal,0
6.0,0,4.0792,2.5939,22.05,0.8803,0,0,normal,0
7.0,0,4.1126,2.516,22.08,0.8804,0,0,normal,0
8.0,0,4.073,2.5286,22.3,0.8804,0,0,normal,0
9.0,0,4.0914,2.5683,22.29,0.8805,0,0,normal,0
10.0,0,4.0692,2.6571,22.02,0.8805,0,0,normal,0
11.0,0,4.0978,2.5093,22.53,0.8805,0,0,normal,0
12.0,0,4.0607,2.5443,21.96,0.8806,0,0,normal,0
13.0,0,4.0996,2.5825,22.39,0.8806,0,0,normal,0
14.0,0,4.0882,2.5167,22.28,0.8807,0,0,normal,0
15.0,0,4.1183,1.8109,22.33,0.8808,0,0,normal,0
16.0,0,4.0978,1.8339,22.36,0.8808,0,0,normal,0
17.0,0,4.0598,1.8316,22.2,0.8809,0,0,normal,0
18.0,0,4.0814,1.7765,22.23,0.881,0,0,normal,0
19.0,0,4.0739,1.8747,22.62,0.881,0,0,normal,0
20.0,0,4.0904,1.7159,22.39,0.8811,0,0,normal,0
21.0,0,4.1143,1.8293,22.6,0.8812,0,0,normal,0
22.0,0,4.086,1.7826,22.64,0.8812,0,0,normal,0
23.0,0,4.0656,1.7904,22.06,0.8813,0,0,normal,0
24.0,0,4.1107,1.754,22.46,0.8814,0,0,normal,0
25.0,0,4.086,1.8345,22.48,0.8814,0,0,normal,0
26.0,0,4.0891,1.8313,22.58,0.8815,0,0,normal,0
27.0,0,4.0891,1.7669,22.35,0.8816,0,0,normal,0
28.0,0,4.111,1.7402,22.34,0.8816,0,0,normal,0
29.0,0,4.1097,1.8006,22.63,0.8817,0,0,normal,0
30.0,0,4.0946,1.8333,22.39,0.8818,0,0,normal,0
31.0,0,4.0557,1.796,22.1,0.8818,0,0,normal,0
32.0,0,4.0742,1.7339,22.67,0.8819,0,0,normal,0
33.0,0,4.0894,1.7547,22.96,0.882,0,0,normal,0
34.0,0,4.1168,1.7822,22.3,0.882,0,0,normal,0
35.0,0,4.0745,1.7897,22.5,0.8821,0,0,normal,0
36.0,0,4.0541,1.842,22.75,0.8822,0,0,normal,0
37.0,0,4.0831,1.8119,22.2,0.8822,0,0,normal,0
38.0,0,4.0849,1.8036,22.72,0.8823,0,0,normal,0
39.0,0,4.1383,1.8011,22.59,0.8824,0,0,normal,0
40.0,0,4.1039,1.7488,22.75,0.8824,0,0,normal,0
41.0,0,4.118,1.868,22.81,0.8825,0,0,normal,0
42.0,0,4.0673,1.8732,22.52,0.8826,0,0,normal,0
43.0,0,4.0897,1.7537,22.32,0.8826,0,0,normal,0
44.0,0,4.0924,1.8318,22.31,0.8827,0,0,normal,0
45.0,0,4.1075,1.7492,23.02,0.8828,0,0,normal,0
46.0,0,4.1696,1.8998,22.91,0.8828,0,0,normal,0
47.0,0,4.0465,1.7505,22.88,0.8829,0,0,normal,0
48.0,0,4.0893,1.7594,22.63,0.883,0,0,normal,0
49.0,0,4.1257,1.793,22.88,0.883,0,0,normal,0
50.0,0,4.0733,1.7921,22.35,0.8831,0,0,normal,0
51.0,0,4.0982,1.7757,23.4,0.8832,0,0,normal,0
52.0,0,4.1236,1.8065,22.73,0.8832,0,0,normal,0
53.0,0,4.0763,1.7408,22.68,0.8833,0,0,normal,0
54.0,0,4.0766,1.9064,23.17,0.8834,0,0,normal,0
55.0,0,4.1235,1.7549,23.05,0.8834,0,0,normal,0
56.0,0,4.0985,1.7922,22.75,0.8835,0,0,normal,0
57.0,0,4.0876,1.8223,22.6,0.8836,0,0,normal,0
58.0,0,4.1051,1.7361,23.45,0.8836,0,0,normal,0
59.0,0,4.0965,1.808,23.08,0.8837,0,0,normal,0
60.0,0,4.1038,1.8653,22.89,0.8838,0,0,normal,0
61.0,0,4.1093,1.8553,23.49,0.8838,0,0,normal,0
62.0,0,4.069,1.8092,22.63,0.8839,0,0,normal,0
63.0,0,4.1413,1.8825,23.01,0.884,0,0,normal,0
64.0,0,4.1368,1.7808,22.74,0.884,0,0,normal,0
65.0,0,4.117,1.7553,22.97,0.8841,0,0,normal,0
66.0,0,4.096,1.7997,23.21,0.8842,0,0,normal,0
67.0,0,4.101,1.8704,23.32,0.8842,0,0,normal,0
68.0,0,4.101,1.6975,22.89,0.8843,0,0,normal,0
69.0,0,4.0795,1.7391,23.06,0.8844,0,0,normal,0
70.0,0,4.0662,1.8458,23.18,0.8844,0,0,normal,0
71.0,0,4.0927,1.7758,23.49,0.8845,0,0,normal,0
72.0,0,4.1333,1.8269,23.16,0.8846,0,0,normal,0
73.0,0,4.0956,1.7652,23.29,0.8846,0,0,normal,0
74.0,0,4.0733,1.8088,23.26,0.8847,0,0,normal,0
75.0,0,4.1633,1.8114,23.82,0.8848,0,0,normal,0
76.0,0,4.0944,1.7573,22.83,0.8849,0,0,normal,0
77.0,0,4.1092,1.7705,23.65,0.8849,0,0,normal,0
78.0,0,4.0852,1.7635,22.66,0.885,0,0,normal,0
79.0,0,4.0745,1.7919,23.16,0.8851,0,0,normal,0
80.0,0,4.0995,1.7562,22.8,0.8851,0,0,normal,0
81.0,0,4.1557,1.7266,22.96,0.8852,0,0,normal,0
82.0,0,4.1481,1.7452,24.24,0.8853,0,0,normal,0
83.0,0,4.0931,1.7414,23.48,0.8853,0,0,normal,0
84.0,0,4.0748,1.8864,23.32,0.8854,0,0,normal,0
85.0,0,4.1114,1.8389,23.3,0.8855,0,0,normal,0
86.0,0,4.0671,1.7933,23.36,0.8855,0,0,normal,0
87.0,0,4.1075,1.7867,23.28,0.8856,0,0,normal,0
